activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,95547,[],CHEMBL674893,Binding Affinity to Dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '21.88', 'le': '0.41', 'lle': '4.77', 'sei': '11.88'}",CHEMBL370805,COCAINE,CHEMBL370805,6.64,1,http://www.openphacts.org/units/Nanomolar,227603,=,1,1,=,,Ki,nM,,231.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,231.0
,95551,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,Cc1ccc([C@H](O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '15.28', 'le': '0.28', 'lle': '1.79', 'sei': '11.38'}",CHEMBL333476,,CHEMBL333476,4.97,0,http://www.openphacts.org/units/Nanomolar,227613,=,1,1,=,,Ki,nM,,10650.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,10650.0
,98682,[],CHEMBL674895,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol.,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(F)cc2)C(C(=O)c2ccc(F)cc2)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '15.83', 'le': '0.30', 'lle': '2.25', 'sei': '12.94'}",CHEMBL120951,FLAZALONE,CHEMBL120951,5.24,0,http://www.openphacts.org/units/Nanomolar,227604,=,1,1,=,,Ki,nM,,5700.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,5700.0
,98686,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)cc2Cl)C([C@@H](O)c2ccc(Cl)cc2Cl)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.32', 'le': '0.28', 'lle': '0.19', 'sei': '12.27'}",CHEMBL118794,,CHEMBL118794,5.36,0,http://www.openphacts.org/units/Nanomolar,227612,=,1,1,=,,Ki,nM,,4350.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,4350.0
,103591,[],CHEMBL674894,Binding Affinity to cocaine site of dopamine transporter in caudate nuclei which was homogenized and incubated with [3H]mazindol. ,B,,,BAO_0000192,BAO_0000019,assay format,CN1CCC(O)(c2ccc(Cl)cc2Cl)C(C(=O)c2ccc(Cl)cc2Cl)C1,,,CHEMBL1133575,J. Med. Chem.,2000.0,"{'bei': '12.55', 'le': '0.29', 'lle': '0.12', 'sei': '13.41'}",CHEMBL331334,,CHEMBL331334,5.44,0,http://www.openphacts.org/units/Nanomolar,227606,=,1,1,=,,Ki,nM,,3650.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,3650.0
,106983,[],CHEMBL670046,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '24.19', 'le': '0.64', 'lle': '6.29', 'sei': '31.55'}",CHEMBL311347,,CHEMBL311347,9.32,1,http://www.openphacts.org/units/Nanomolar,342388,=,1,1,=,,Ki,nM,,0.48,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.48
,110599,[],CHEMBL670046,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '21.30', 'le': '0.55', 'lle': '4.97', 'sei': '22.07'}",CHEMBL174088,,CHEMBL174088,8.46,0,http://www.openphacts.org/units/Nanomolar,342389,=,1,1,=,,Ki,nM,,3.47,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,3.47
,110726,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CNCCCN1c2ccccc2CCc2ccccc21,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '34.95', 'le': '0.64', 'lle': '5.78', 'sei': '60.97'}",CHEMBL72,DESIPRAMINE,CHEMBL72,9.31,0,http://www.openphacts.org/units/Nanomolar,342392,=,1,1,=,,Ki,nM,,0.49,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.49
,118474,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '20.63', 'le': '0.40', 'lle': '2.50', 'sei': '11.02'}",CHEMBL106939,DASB,CHEMBL106939,5.85,0,http://www.openphacts.org/units/Nanomolar,197396,=,1,1,=,,Ki,nM,,1423.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1423.0
,118577,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '27.76', 'le': '0.55', 'lle': '5.64', 'sei': '15.54'}",CHEMBL814,FLUVOXAMINE,CHEMBL814,8.84,0,http://www.openphacts.org/units/Nanomolar,342393,=,1,1,=,,Ki,nM,,1.46,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1.46
,118578,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CNCCC(Oc1ccccc1OC)c1ccccc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '27.72', 'le': '0.51', 'lle': '4.10', 'sei': '24.67'}",CHEMBL295467,NISOXETINE,CHEMBL295467,7.52,0,http://www.openphacts.org/units/Nanomolar,342395,=,1,1,=,,Ki,nM,,30.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,30.0
,123443,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '23.04', 'le': '0.43', 'lle': '4.03', 'sei': '18.18'}",CHEMBL14370,REBOXETINE,CHEMBL14370,7.22,0,http://www.openphacts.org/units/Nanomolar,342391,=,1,1,=,,Ki,nM,,60.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,60.0
,127428,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '17.44', 'le': '0.35', 'lle': '1.19', 'sei': '19.45'}",CHEMBL104673,,CHEMBL104673,5.69,0,http://www.openphacts.org/units/Nanomolar,197395,=,1,1,=,,Ki,nM,,2038.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2038.0
,128408,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '19.33', 'le': '0.38', 'lle': '2.09', 'sei': '14.49'}",CHEMBL107077,,CHEMBL107077,5.58,0,http://www.openphacts.org/units/Nanomolar,197398,=,1,1,=,,Ki,nM,,2651.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2651.0
,137116,[],CHEMBL879871,In vitro binding affinity on cloned Dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,,,CHEMBL1133614,J. Med. Chem.,2000.0,"{'bei': '23.70', 'le': '0.50', 'lle': '2.80', 'sei': '23.72'}",CHEMBL432394,,CHEMBL432394,6.94,0,http://www.openphacts.org/units/Nanomolar,197397,=,1,1,=,,Ki,nM,,115.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,115.0
,138603,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '21.97', 'le': '0.57', 'lle': '5.24', 'sei': '22.77'}",CHEMBL173427,,CHEMBL173427,8.73,0,http://www.openphacts.org/units/Nanomolar,342394,=,1,1,=,,Ki,nM,,1.88,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,1.88
,138608,[],CHEMBL670050,In vitro competitive binding versus [N-methyl-3H]WIN-35428 in murine kidney cells transfected with cDNA for human dopamine transporter (DAT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '26.72', 'le': '0.71', 'lle': '7.23', 'sei': '25.88'}",CHEMBL353333,,CHEMBL353333,9.92,0,http://www.openphacts.org/units/Nanomolar,342390,=,1,1,=,,Ki,nM,,0.12,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.12
,184113,[],CHEMBL675532,Binding constant for [3H]dopamine uptake was calculated from the Cheng-Prusoff relationship,B,,,BAO_0000192,BAO_0000357,single protein format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '30.57', 'le': '0.65', 'lle': '4.40', 'sei': '279.49'}",CHEMBL28394,,CHEMBL28394,9.06,0,http://www.openphacts.org/units/Nanomolar,37814,=,1,1,=,,Ki,nM,,0.88,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.88
,184114,[],CHEMBL675533,Binding constant for the ability to displace [3H]mazindol to dopamine receptor was calculated from the Cheng-Prusoff relationship,B,,,BAO_0000192,BAO_0000357,single protein format,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,,,CHEMBL1159182,Bioorg. Med. Chem. Lett.,1993.0,"{'bei': '32.60', 'le': '0.69', 'lle': '5.00', 'sei': '298.07'}",CHEMBL28394,,CHEMBL28394,9.66,0,http://www.openphacts.org/units/Nanomolar,37814,=,1,1,=,,Ki,nM,,0.22,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,0.22
,228139,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(CC(c2ccccc2)c2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '27.01', 'le': '0.48', 'lle': '2.54', 'sei': '54.34'}",CHEMBL342055,,CHEMBL342055,7.00,0,http://www.openphacts.org/units/Nanomolar,290042,=,1,1,=,,Ki,nM,,99.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.099
,228140,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(CC(c2ccccc2)c2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '25.37', 'le': '0.45', 'lle': '2.12', 'sei': '51.05'}",CHEMBL342055,,CHEMBL342055,6.58,0,http://www.openphacts.org/units/Nanomolar,290042,=,1,1,=,,Ki,nM,,263.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.263
,228143,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(Cc2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL357322,,CHEMBL357322,,0,http://www.openphacts.org/units/Nanomolar,290039,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
,228144,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(Cc2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL357322,,CHEMBL357322,,0,http://www.openphacts.org/units/Nanomolar,290039,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
,234409,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2ccccn2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '24.99', 'le': '0.44', 'lle': '1.87', 'sei': '47.55'}",CHEMBL347772,,CHEMBL347772,6.13,0,http://www.openphacts.org/units/Nanomolar,290043,=,1,1,=,,Ki,nM,,742.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.742
,234410,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2ccccn2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '24.34', 'le': '0.43', 'lle': '1.71', 'sei': '46.33'}",CHEMBL347772,,CHEMBL347772,5.97,0,http://www.openphacts.org/units/Nanomolar,290043,=,1,1,=,,Ki,nM,,1067.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,1.067
,239725,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '28.95', 'le': '0.51', 'lle': '2.84', 'sei': '55.10'}",CHEMBL150045,,CHEMBL150045,7.10,0,http://www.openphacts.org/units/Nanomolar,290038,=,1,1,=,,Ki,nM,,79.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.079
,239726,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2ccncc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '26.88', 'le': '0.47', 'lle': '2.33', 'sei': '51.15'}",CHEMBL150045,,CHEMBL150045,6.59,0,http://www.openphacts.org/units/Nanomolar,290038,=,1,1,=,,Ki,nM,,255.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.255
,239729,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2cccnc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '24.90', 'le': '0.44', 'lle': '1.85', 'sei': '47.38'}",CHEMBL149246,,CHEMBL149246,6.11,0,http://www.openphacts.org/units/Nanomolar,290044,=,1,1,=,,Ki,nM,,780.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.78
,239730,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc(C(c2ccccc2)c2cccnc2)cc1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '24.72', 'le': '0.44', 'lle': '1.81', 'sei': '47.06'}",CHEMBL149246,,CHEMBL149246,6.07,0,http://www.openphacts.org/units/Nanomolar,290044,=,1,1,=,,Ki,nM,,860.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,0.86
,256059,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc2c(-c3ccncc3)c3ccccc3cc2c1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL357312,,CHEMBL357312,,0,http://www.openphacts.org/units/Nanomolar,290041,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
,256060,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1ccc2c(-c3ccncc3)c3ccccc3cc2c1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL357312,,CHEMBL357312,,0,http://www.openphacts.org/units/Nanomolar,290041,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
,258797,[],CHEMBL678069,Affinity to displace binding of [3H]WIN-35428 to dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1cncc(-c2c3ccccc3cc3ccccc23)c1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL149878,,CHEMBL149878,,0,http://www.openphacts.org/units/Nanomolar,290040,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
,258798,[],CHEMBL675536,Inhibition of [3H]DA uptake evaluated at the dopamine transporter,B,,,BAO_0000192,BAO_0000357,single protein format,c1cncc(-c2c3ccccc3cc3ccccc23)c1,,,CHEMBL1136563,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL149878,,CHEMBL149878,,0,http://www.openphacts.org/units/Nanomolar,290040,>,1,1,>,,Ki,nM,,10000.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,uM,UO_0000065,,10.0
